平稳/坡度 なだらか
挖苦/讥讽(皮肉) ひにく
转圈/大转变(一転する) いってんする
没有意义/没有价值 くだらない
不便讲的 言いづらい いいづらい
回头 ふりむく
弯腰 かがむ
经常就诊 かかりつけ
渗/浸 しみる
翻开 めくる
下降(下降) かこう
回家探亲(帰省) きせい
截短/缩小(縮める) ちぢめる
实践(実践) じっせん
苗头/迹象(気配) きはい
暧昧/模糊 あやふや
从早到晚(終日) しゅうじつ
摆弄/弄 いじる
坦率说出(打ち明ける) うちあける
扩充(拡充) かくじゅう
弱点(弱点) じゃくてん
计时器timer タイマー
突发事件accident アクシデント
愤怒 かっと
毛骨悚然/打冷战 ぞっと
着手/开始(取りかかる) とりかかる
果然(案の定) あんのじょう
包/裹 くるむ
发呆 ぼうっと
积攒/积压(溜まる) たまる
断然/斩钉截铁 きっぱり
地面/地板floor フロア
舞台stage ステージ
正面front フロント
低头 うつむく
聪明/伶俐(利口) りこう
每天要做的事(日課) にっか
憎恶/厌恶(憎む) にくむ
压力pressure プレッシャー
损坏/损伤damage ダメージ
自卑感complex コンプレックス
