拉(拽)(动1) 引っ張る
想起(浮)(浮现)(动1) 浮かぶ
齐备(完备)(动1) 整う
干(干燥)(动1) 乾く
生活(动1) 暮らす
回避(避免)(动2) 避ける
好卖(畅销)(动2) 売れる
感受(受到)(动2) 受ける
热(温)(动2) 温める
理解(动3) 理解する
建议(提案)(动3) 提案する
试作(试制)(动3) 試作する
经验(经历)(动3) 経験する
熟记(背诵)(动3) 暗記する
早退(动3) 早退する
暂时停职(动3) 休職する
蔓延(拓宽)(动1) 広がる
返回(回到)(动1) 戻る
惊讶(吃惊)(动1) 驚く
别致(风趣)打扮得漂亮(动2) しゃれる
切实感受(真切感受)(动3) 実感する
加重(前进)(动1) 進む
刷(擦)(动1) 磨く
天阴(动1) 曇る
像(相似)(动2) 似る
景观照明(动3) ライトアップする
普及(动3) 普及する
避雨(动3) 雨宿りする
结束(完了)(动1) 済む
堆积(积攒)(动1) 積もる
度过(生活)(动1) 過ごす
微笑(动1) ほほえむ
延长(动1) 延ばす
搞完(办完)(动2) 済ませる
枯萎(干燥)(动2) 枯れる
发送(寄送)(动3) 発送する
紧张(动3) 緊張する
办理入住手续(动3) チェックインする
直接去(直达)(动3) 直行する
(自谦)去/来/问/拜访/请教(动1) 伺う
(自谦)做(干)(动1) いたす
(自谦)来(去)(动1) 参る
(自谦)吃(喝)得到(动1) いただく
在(动1) おる
在(有)(是)(动1) ござる
(自谦)给(动2) 差し上げる
(自谦)知道(动2) 存じる
推进(使前进)(动2) 進める
(自谦)看(动3) 拝見する
知道(动3) 承知する
希望(期待)(动3) 期待する
帮助(照顾)(动3) 世話する
倾/倾斜/倾注(动2) 傾ける
弄弯/歪曲(动2) 曲げる
接/接收/接受(动1) 受け取る
给/给予/给与(动2) 与える
充满/包含(动1) こもる
传/传达/传摇/流传(动1) 伝わる
获得帮助/得救(动1) 助かる
跟上/跟上去(动1) ついていく
延伸/延长(动2) 延びる
经营(动3) 経営する
表示/表现/表达(动1) 表す
包括/含有/包含(动2) 含める
参加/加/添加/增添(动1) 加わる
尊重(动3) 尊重する
赴任/上任(动3) 赴任する
指/指示(动1) 指す
有关系/关系/关联(动3) 関係する
(商店)关门(动3) 閉店する
放弃/断念/死心(动2) あきらめる
忽视/无视(动3) 無視する
超过/超出(动1) 上回る
不够……水平/在……一下(动1) 下回る
去世/死亡(动1) 亡くなる
推荐(动3) 推薦する
升学(动3) 進学する
落山/沉没/消沉(动1) 沈む
闯入/侵入(动3) 侵入する
失望/灰心丧气(动3) がっかりする
引进/引入/导入(动3) 導入する
减少/减轻(动1) 減らす
实施/施行(动3) 実施する
制定/设置/设立(动2) 設ける
得到/取得(动2) 得る
相比/比较/对比(动2) 比べる
