卑鄙/懦弱 ひきょう
可恨/讨厌(憎い) にくい
反抗/争论(抗う) あらがう
朦胧 くもる
改变change チェンジ
脚步/踏板step ステップ
松软 ふんわり
消磨 つぶす
姑且 いったん
旺盛/坚强(逞しい) たくましい
立志/志向(志す) こころざす
斥责/催逼(責める) せめる
转播(中継) ちゅうけい
估计(見当) けんとう
记号(目印) めじるし
闯进(突っ込む) つっこむ
山脚下 ふもと
腐烂/损坏(傷む) いたむ
脏兮兮(汚っぽい) さたっぽい
全是泡沫(泡っぽい) あわっぽい
连接/接续(接続) せつぞく
逆/违背(逆らう) さからう
预先(予め) あらかじめ
牵连 かかわりあう
牵涉(引っかかる) ひっかかる
妨碍(差し支える) さしつかえる
使~一致 そろえる
全部买下(買いしめる) かいしめる
正要~的时候(間際) まぎわ
结实(頑丈) がんじょう
孜孜不倦 こつこつ
室内装修interior インテリア
小个子(小柄) こがら
去向(行方) ゆくえ
抽/录用(採る) とる
授予/传授(授ける) さずける
吵闹(騒々しい) そうぞうしい
辩解(言い訳) いいわけ
